,Private,Apps,Accept,perc.accept,Enroll,perc.enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Tot.Exp,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Castleton State College,No,1257,940,75,363,39,9,22,1547,294,7656,4690,400,12746,700,89,91,14.7,8,6318,79
Catawba College,Yes,1083,880,81,291,33,13,34,915,80,9270,4100,600,13970,1860,75,82,13.5,27,8425,55
Catholic University of America,Yes,1754,1465,84,505,34,24,49,2159,211,13712,6408,526,20646,1100,90,96,9.3,18,12751,75
Cazenovia College,Yes,3847,3433,89,527,15,9,35,1010,12,9384,4840,600,14824,500,22,47,14.3,20,7697,118
Cedar Crest College,Yes,776,607,78,198,33,25,58,791,764,14340,5285,500,20125,1000,58,83,11.7,39,10961,74
Cedarville College,Yes,1307,1090,83,616,57,25,55,2196,82,7344,4410,570,12324,1000,50,52,15.3,34,6897,64
Centenary College,Yes,369,312,85,90,29,12,46,396,526,11400,5400,500,17300,760,41,85,9.5,20,9583,24
Centenary College of Louisiana,Yes,495,434,88,210,48,35,55,775,44,8950,3490,600,13040,1900,86,92,11.3,25,9685,66
Center for Creative Studies,Yes,601,396,66,203,51,1,20,525,323,11230,6643,2340,20213,620,8,58,6.8,4,13025,47
Central College,Yes,1283,1113,87,401,36,31,65,1355,40,10938,3660,650,15248,600,76,90,13.5,29,8444,67
Central Connecticut State University,No,4158,2532,61,902,36,6,24,6394,3881,5962,4444,500,10906,985,69,73,16.7,4,4900,49
Central Missouri State University,No,4681,4101,88,1436,35,10,35,8094,1596,4620,3288,300,8208,2250,69,80,19.7,4,5501,50
Central Washington University,No,2785,2011,72,1007,50,8,65,6507,898,7242,3603,654,11499,1416,67,89,18.1,0,6413,51
Central Wesleyan College,Yes,174,146,84,88,60,8,29,1047,33,8300,3080,600,11980,600,62,62,15.2,18,3365,58
Centre College,Yes,1013,888,88,288,32,55,82,943,7,11850,4270,600,16720,900,95,99,11.4,60,13118,74
Chapman University,Yes,959,771,80,351,46,23,48,1662,209,16624,5895,600,23119,1100,72,80,12.8,6,12692,47
Chatham College,Yes,212,197,93,91,46,28,56,471,148,13500,5230,400,19130,850,95,98,9.3,37,16095,52
Chestnut Hill College,Yes,342,254,74,126,50,25,64,518,232,10335,5015,700,16050,850,71,71,8.3,29,7729,73
Christendom College,Yes,81,72,89,51,71,33,71,139,3,8730,3600,400,12730,800,92,92,9.3,17,10922,58
Christian Brothers University,Yes,880,520,59,224,43,16,42,1068,364,9300,3260,600,13160,900,81,81,11.1,24,8129,63
Christopher Newport University,No,883,766,87,428,56,3,37,2910,1749,7860,4750,525,13135,1889,80,82,21.2,16,4639,48
Claflin College,Yes,1196,697,58,499,72,21,47,959,13,4412,2460,500,7372,1000,69,69,16.9,31,7083,21
Claremont McKenna College,Yes,1860,767,41,227,30,71,93,887,1,17000,6010,500,23510,850,99,99,9.6,52,18443,87
Clark University,Yes,2887,2059,71,457,22,30,61,1928,296,17500,4200,500,22200,950,94,95,10.5,35,11951,79
Clarke College,Yes,460,340,74,167,49,14,45,604,350,10740,3676,350,14766,900,67,71,11,27,7963,74
Clarkson University,Yes,2174,1953,90,557,29,35,68,2332,53,15960,5580,700,22240,1300,95,95,15.8,32,11659,77
Clemson University,No,8065,5257,65,2301,44,37,65,11755,770,8116,3610,800,12526,1618,82,88,18,17,7597,73
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,81,250,45,15,30,1125,422,7168,3689,600,11457,1900,67,67,18.1,9,4417,46
Coe College,Yes,1006,742,74,275,37,29,60,1127,205,13925,4390,500,18815,2200,73,86,12.7,32,10141,67
Coker College,Yes,604,452,75,295,65,15,47,690,222,9888,4502,400,14790,1000,64,77,12.1,39,8741,75
Colby College,Yes,2848,1319,46,456,35,58,84,1720,35,18930,5590,500,25020,1000,83,94,10.2,41,15954,91
Colgate University,Yes,4856,2492,51,727,29,46,75,2649,25,19510,5565,500,25575,750,95,98,10.5,45,15494,93
College Misericordia,Yes,1432,888,62,317,36,29,58,1121,493,10860,5760,550,17170,900,56,62,12.9,23,8604,96
College of Charleston,No,4772,3140,66,1265,40,22,55,6851,1200,6120,3460,666,10246,2316,73,78,17.2,18,4776,51
College of Mount St. Joseph,Yes,798,620,78,238,38,14,41,1165,1232,9800,4430,400,14630,1150,46,46,11.1,35,6889,100
College of Mount St. Vincent,Yes,946,648,68,177,27,23,46,707,432,11790,5770,500,18060,1000,75,77,11.9,35,10015,83
College of Notre Dame,Yes,344,264,77,97,37,11,42,500,331,12600,5520,630,18750,2250,77,80,10.4,7,9773,43
College of Notre Dame of Maryland,Yes,457,356,78,177,50,35,61,667,1983,11180,5620,600,17400,700,64,64,11.5,32,7477,75
College of Saint Benedict,Yes,938,864,92,511,59,29,62,1715,103,12247,4221,500,16968,600,70,88,13.1,26,8847,72
College of Saint Catherine,Yes,511,411,80,186,45,23,51,1692,562,12224,4440,450,17114,1000,63,87,11.5,32,7315,77
College of Saint Elizabeth,Yes,444,359,81,122,34,34,53,493,968,10900,5250,380,16530,1000,68,70,11.4,23,9447,78
College of Saint Rose,Yes,983,664,68,249,38,23,57,1698,894,9990,5666,800,16456,1500,66,71,14.3,28,6084,64
College of Santa Fe,Yes,546,447,82,189,42,16,42,873,683,11138,4138,600,15876,1200,40,74,14,7,8820,80
College of St. Joseph,Yes,141,118,84,55,47,12,21,201,173,8300,4850,450,13600,1300,53,53,9.5,19,6936,76
College of St. Scholastica,Yes,672,596,89,278,47,29,60,1350,275,11844,3696,450,15990,1146,54,76,11.6,33,8996,72
College of the Holy Cross,Yes,2994,1691,56,659,39,70,95,2675,22,18000,6300,400,24700,900,92,96,11.3,55,12138,95
College of William and Mary,No,7117,3106,44,1217,39,68,88,5186,134,11720,4298,600,16618,800,89,92,12.1,31,9534,93
College of Wooster,Yes,2100,1883,90,553,29,29,65,1704,1,16240,4690,500,21430,500,84,96,11.1,43,14140,69
Colorado College,Yes,3207,1577,49,490,31,56,87,1892,7,17142,4190,450,21782,1200,85,97,11.3,51,14664,84
Colorado State University,No,9478,6312,67,2194,35,29,65,15646,1829,8412,4180,470,13062,1800,87,89,19.2,10,7850,59
Columbia College MO,Yes,314,158,50,132,84,10,28,690,5346,8294,3700,400,12394,900,87,87,15.3,2,5015,37
Columbia College,Yes,737,614,83,242,39,21,67,968,237,10425,3975,500,14900,1500,61,77,14.7,34,8693,76
Columbia University,Yes,6756,1930,29,871,45,78,96,3376,55,18624,6664,550,25838,300,97,98,5.9,21,30639,99
Concordia College at St. Paul,Yes,281,266,95,139,52,13,29,1049,181,10500,3750,450,14700,950,69,75,12.8,18,6955,45
Concordia Lutheran College,Yes,232,216,93,106,49,16,34,534,172,6900,3800,450,11150,1825,67,76,12.1,9,6875,42
Concordia University CA,Yes,688,497,72,144,29,30,75,641,101,10800,4440,570,15810,1515,55,60,13.1,13,8415,55
Concordia University,Yes,528,403,76,186,46,22,56,1168,145,9216,4191,400,13807,1000,56,64,12.1,13,7309,75
Connecticut College,Yes,3035,1546,51,438,28,42,93,1630,232,18740,6300,600,25640,500,86,95,10.7,40,14773,91
Converse College,Yes,440,407,93,149,37,35,70,643,80,12050,3700,500,16250,900,63,76,10.2,31,10965,75
Cornell College,Yes,1538,1329,86,383,29,33,68,1140,10,15248,4323,550,20121,800,71,76,12.2,31,10340,64
Creighton University,Yes,2967,2836,96,876,31,30,60,3450,644,10628,4372,650,15650,2055,85,90,6.5,32,22906,85
Culver-Stockton College,Yes,1576,1110,70,274,25,24,55,992,112,8000,3700,400,12100,500,51,52,14.1,28,5807,51
Cumberland College,Yes,995,789,79,398,50,26,47,1306,122,6230,3526,400,10156,600,42,44,13,4,8189,63
D'Youville College,Yes,866,619,71,157,25,18,47,1074,336,8920,4310,680,13910,1320,68,68,14.6,42,6898,46
Dana College,Yes,504,482,96,185,38,10,36,550,84,9130,3322,450,12902,1450,46,51,12.6,25,8686,54
Daniel Webster College,Yes,585,508,87,153,30,12,30,460,536,12292,4934,500,17726,500,61,61,22.2,10,8643,72
Dartmouth College,Yes,8587,2273,26,1087,48,87,99,3918,32,19545,6070,550,26165,1100,95,99,4.7,49,29619,98
Davidson College,Yes,2373,956,40,452,47,77,96,1601,6,17295,5070,600,22965,1011,95,97,12,46,17581,94
Defiance College,Yes,571,461,81,174,38,10,26,645,283,10850,3670,400,14920,1159,58,60,12.8,19,7505,56
Delta State University,No,967,945,98,459,49,15,48,2806,538,4528,1880,500,6908,1200,49,63,17.1,16,5113,58
Denison University,Yes,2762,2279,83,533,23,32,60,1835,14,16900,4720,500,22120,600,88,97,11.6,45,12423,81
DePauw University,Yes,1994,1656,83,495,30,50,80,1983,36,14300,5020,550,19870,950,78,94,11.1,31,11525,82
Dickinson College,Yes,3014,2539,84,487,19,31,68,1889,62,18700,5000,595,24295,1250,87,94,11.2,39,13861,87
Dickinson State University,No,434,412,95,319,77,10,30,1376,237,4486,2146,600,7232,2000,50,64,16.5,28,4525,46
Dillard University,Yes,1998,1376,69,651,47,41,88,1539,45,6700,3650,500,10850,2307,52,52,14.1,12,7566,61
Doane College,Yes,793,709,89,244,34,20,47,1022,411,9570,3000,400,12970,1000,67,72,15.1,42,6852,60
Dominican College of Blauvelt,Yes,360,329,91,108,33,4,19,756,863,8310,5500,600,14410,1800,43,43,12.7,5,5480,54
Dordt College,Yes,604,562,93,328,58,25,50,1048,56,9800,2650,450,12900,2800,61,60,12.5,17,7325,87
Dowling College,Yes,1011,829,82,410,49,9,33,1059,2458,9000,3100,450,12550,1413,77,78,12.4,7,11178,42
Drake University,Yes,2799,2573,92,839,33,34,65,3322,726,13420,4770,560,18750,1675,88,93,15,24,9473,77
Drew University,Yes,2153,1580,73,321,20,56,84,1192,87,18432,5616,520,24568,660,93,97,10.2,28,14907,83
Drury College,Yes,700,650,93,314,48,33,66,1065,48,8730,3523,500,12753,750,82,92,13.2,35,9303,67
Duke University,Yes,13789,3893,28,1583,41,90,98,6188,53,18590,5950,625,25165,1162,95,96,5,44,27206,97
Earlham College,Yes,1358,1006,74,274,27,35,63,1028,13,15036,4056,600,19692,600,90,94,10.6,46,14634,78
East Carolina University,No,9274,6362,69,2435,38,14,44,13171,1687,7248,3240,500,10988,1700,74,78,13.2,18,9002,58
East Tennessee State University,No,3330,2730,82,1303,48,15,36,6706,2640,5800,3000,600,9400,2200,73,75,14,9,9825,42
East Texas Baptist University,Yes,379,341,90,265,78,10,36,1050,151,4950,2780,530,8260,1500,62,62,15.7,7,5619,38
Eastern College,Yes,458,369,81,165,45,16,42,1057,355,11190,4800,450,16440,1230,60,60,13.6,22,8135,54
Eastern Connecticut State University,No,2172,1493,69,564,38,14,50,2766,1531,5962,4316,650,10928,500,71,76,16.9,14,5719,50
Eastern Illinois University,No,5597,4253,76,1565,37,12,38,9161,845,5710,3066,120,8896,1730,62,71,16.2,5,5682,76
Eastern Mennonite College,Yes,486,440,91,227,52,19,48,903,59,9650,3800,600,14050,1300,46,65,11.4,29,10188,82
Eastern Nazarene College,Yes,516,409,79,200,49,17,40,1238,30,8770,3500,450,12720,700,58,58,17.3,17,6430,70
Eckerd College,Yes,1422,1109,78,366,33,33,65,1363,23,15360,4080,600,20040,1000,82,89,12.8,26,15003,59
Elizabethtown College,Yes,2417,1843,76,426,23,36,70,1476,299,14190,4400,500,19090,750,65,68,12.8,25,9815,81
Elmira College,Yes,1457,1045,72,345,33,27,50,1109,502,14990,4980,450,20420,550,77,98,21.5,21,7502,64
Elms College,Yes,245,208,85,125,60,23,46,544,436,11800,4765,450,17015,1700,71,71,11.3,21,8952,86
Elon College,Yes,3624,2786,77,858,31,11,39,2933,334,9100,3883,490,13473,1777,70,74,18.9,34,6329,63
Embry Riddle Aeronautical University,Yes,3151,2584,82,958,37,14,40,4772,856,7800,3750,570,12120,3020,37,43,16.5,4,12878,44
Emory & Henry College,Yes,765,646,84,226,35,30,60,809,32,8578,4408,700,13686,1600,79,88,13.9,51,8061,82
Emory University,Yes,8506,4168,49,1236,30,76,97,5544,192,17600,6000,600,24200,870,97,98,5,28,28457,96
Emporia State University,No,1256,1256,100,853,68,43,79,3957,588,5401,3144,450,8995,1888,72,75,19.3,4,5527,50
Erskine College,Yes,659,557,85,167,30,47,74,532,35,10485,3840,475,14800,1246,76,80,13.5,47,7527,67
Eureka College,Yes,560,454,81,113,25,36,56,484,16,10955,3450,330,14735,670,62,87,10.6,31,9552,53
Evergreen State College,No,1801,1101,61,438,40,14,50,3065,363,6297,4600,600,11497,1323,75,78,18.1,14,8355,68
Fairfield University,Yes,4784,3346,70,781,23,30,66,2984,1037,15000,6200,700,21900,1100,86,90,15.1,30,11220,94
Fayetteville State University,No,1455,1064,73,452,42,1,16,2632,617,6806,2550,350,9706,766,75,75,15.1,10,6972,24
Ferrum College,Yes,1339,1107,83,336,30,12,36,1051,82,9400,4200,500,14100,1600,53,58,12.5,9,7967,22
Flagler College,Yes,1415,714,50,338,47,18,52,1345,44,5120,3200,500,8820,2140,52,60,18.1,9,3930,69
Florida Institute of Technology,Yes,1947,1580,81,523,33,39,74,1863,233,13900,4140,750,18790,1500,90,90,10.6,7,8923,57
Florida International University,No,3306,2079,63,1071,52,42,89,10208,9310,6597,2494,800,9891,3028,81,96,13.9,20,6722,66
Florida Southern College,Yes,1381,1040,75,374,36,20,44,1506,970,8025,4865,400,13290,650,65,74,17.4,10,6339,68
Florida State University,No,11651,8683,75,3023,35,50,90,18906,3242,6680,4060,600,11340,1020,80,89,23.1,15,7250,58
Fontbonne College,Yes,291,245,84,126,51,16,49,981,337,8390,4100,350,12840,1500,45,55,21.5,24,4607,62
Fordham University,Yes,4200,2874,68,942,33,30,55,4740,1646,14235,6965,600,21800,1735,86,97,14.4,14,10864,80
Fort Lewis College,No,3440,2823,82,1123,40,16,35,3793,486,6198,3320,500,10018,2500,89,97,19.1,6,4362,46
Francis Marion University,No,1801,1655,92,819,49,13,38,3224,436,5840,3138,400,9378,2430,76,76,19.1,8,5039,43
Franciscan University of Steubenville,Yes,553,452,82,228,50,22,49,1301,242,9650,4400,600,14650,1000,57,69,14.9,8,6336,83
Franklin College,Yes,804,632,79,281,44,29,72,840,68,10390,4040,525,14955,1345,54,78,12.5,37,11751,60
Franklin Pierce College,Yes,5187,4471,86,446,10,3,14,1818,1197,13320,4630,500,18450,800,50,56,17.6,16,6418,51
Freed-Hardeman University,Yes,895,548,61,314,57,20,54,1174,50,5500,3340,600,9440,1600,68,76,16.1,13,6078,62
Fresno Pacific College,Yes,346,274,79,146,53,51,87,704,63,9900,3670,630,14200,1818,59,59,10.5,14,8095,54
Furman University,Yes,2161,1951,90,685,35,56,82,2371,175,13440,4048,600,18088,1250,92,95,13.5,28,12940,82
Gannon University,Yes,2464,1908,77,678,36,24,57,2693,691,10970,4280,500,15750,1380,47,51,13.3,18,7711,65
Gardner Webb University,Yes,1110,930,84,332,36,18,36,1603,374,8180,4270,500,12950,500,65,58,15.2,12,5664,29
Geneva College,Yes,668,534,80,237,44,19,39,1306,258,9476,4820,500,14796,1100,67,67,20.1,26,6786,74
George Fox College,Yes,809,726,90,294,40,27,52,1271,43,12500,4130,400,17030,1050,53,53,13.5,22,7136,52
George Mason University,No,5653,4326,77,1727,40,17,29,9528,3822,10800,4840,580,16220,1050,93,96,19.3,7,6751,46
George Washington University,Yes,7875,5062,64,1492,29,38,71,5471,1470,17450,6328,700,24478,950,92,93,7.6,15,14745,72
Georgetown College,Yes,727,693,95,286,41,30,55,1063,48,8100,3950,550,12600,550,73,76,13.3,28,7508,55
Georgetown University,Yes,11115,2881,26,1390,48,71,93,5881,406,18300,7131,670,26101,1700,91,92,7.2,27,19635,95
Georgia Institute of Technology,No,7837,4527,58,2276,50,89,99,8528,654,6489,4438,795,11722,1164,92,92,19.3,33,11271,70
Georgia State University,No,3793,2341,62,1238,53,9,24,7732,9054,6744,2655,720,10119,3450,87,89,19,10,7762,34
Georgian Court College,Yes,348,281,81,127,45,12,52,1095,785,9150,3950,500,13600,800,56,59,12.2,27,7348,76
Gettysburg College,Yes,3596,2466,69,575,23,42,78,1944,46,19964,4328,500,24792,500,94,95,12.1,32,14720,83
Goldey Beacom College,Yes,633,468,74,284,61,10,27,823,963,6120,2985,531,9636,1830,25,25,27.6,4,6081,36
Gonzaga University,Yes,1886,1524,81,526,35,31,67,2523,296,13000,4450,600,18050,2400,78,90,14.7,32,9553,69
Gordon College,Yes,674,565,84,282,50,25,54,1151,39,12200,4070,400,16670,1200,73,82,14.2,32,9226,66
